## file created 05.May.2015 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 4800508D  41   1   u    0       0         0              0     HB   -33    13      1
 48004F8D  41   1   u    0       0         0              1     HB   -31    13      1
 48004E8D  41   1   u    0       0         0              2     HB   -29    13      1
 4800500D  41   1   u    0       0         0              3     HB   -32    13      1
 48004F0D  41   1   u    0       0         0              4     HB   -30    13      1
 4800510D  41   1   u    0       0         0              5     HB   -34    13      1
 4800908D  41   1   u    0       0         0              6     HB   -33    13      2
 48008F8D  41   1   u    0       0         0              7     HB   -31    13      2
 48008E8D  41   1   u    0       0         1              0     HB   -29    13      2
 4800900D  41   1   u    0       0         1              1     HB   -32    13      2
 48008F0D  41   1   u    0       0         1              2     HB   -30    13      2
 4800910D  41   1   u    0       0         1              3     HB   -34    13      2
 4800910B  41   1   u    0       0         1              4     HB   -34    11      2
 4800900B  41   1   u    0       0         1              5     HB   -32    11      2
 48008F0B  41   1   u    0       0         1              6     HB   -30    11      2
 48008F8B  41   1   u    0       0         1              7     HB   -31    11      2
 48008E8B  41   1   u    0       0         2              0     HB   -29    11      2
 4800908B  41   1   u    0       0         2              1     HB   -33    11      2
 4800510B  41   1   u    0       0         2              2     HB   -34    11      1
 4800500B  41   1   u    0       0         2              3     HB   -32    11      1
 48004F0B  41   1   u    0       0         2              4     HB   -30    11      1
 48004F8B  41   1   u    0       0         2              5     HB   -31    11      1
 48004E8B  41   1   u    0       0         2              6     HB   -29    11      1
 4800508B  41   1   u    0       0         2              7     HB   -33    11      1
 4800548B  41   1   u    0       0         3              0     HB   -41    11      1
 4800528D  41   1   u    0       0         3              1     HB   -37    13      1
 4800518D  41   1   u    0       0         3              2     HB   -35    13      1
 4800530D  41   1   u    0       0         3              3     HB   -38    13      1
 4800520D  41   1   u    0       0         3              4     HB   -36    13      1
 4800538D  41   1   u    0       0         3              5     HB   -39    13      1
 4800948B  41   1   u    0       0         3              6     HB   -41    11      2
 4800928D  41   1   u    0       0         3              7     HB   -37    13      2
 4800918D  41   1   u    0       0         4              0     HB   -35    13      2
 4800930D  41   1   u    0       0         4              1     HB   -38    13      2
 4800920D  41   1   u    0       0         4              2     HB   -36    13      2
 4800938D  41   1   u    0       0         4              3     HB   -39    13      2
 4800940B  41   1   u    0       0         4              4     HB   -40    11      2
 4800930B  41   1   u    0       0         4              5     HB   -38    11      2
 4800920B  41   1   u    0       0         4              6     HB   -36    11      2
 4800928B  41   1   u    0       0         4              7     HB   -37    11      2
 4800918B  41   1   u    0       0         5              0     HB   -35    11      2
 4800938B  41   1   u    0       0         5              1     HB   -39    11      2
 4800540B  41   1   u    0       0         5              2     HB   -40    11      1
 4800530B  41   1   u    0       0         5              3     HB   -38    11      1
 4800520B  41   1   u    0       0         5              4     HB   -36    11      1
 4800528B  41   1   u    0       0         5              5     HB   -37    11      1
 4800518B  41   1   u    0       0         5              6     HB   -35    11      1
 4800538B  41   1   u    0       0         5              7     HB   -39    11      1
 4800508D  41   1   u    0       0         6              0     HB   -33    13      1
 48004F8D  41   1   u    0       0         6              1     HB   -31    13      1
 48004E8D  41   1   u    0       0         6              2     HB   -29    13      1
 4800500D  41   1   u    0       0         6              3     HB   -32    13      1
 48004F0D  41   1   u    0       0         6              4     HB   -30    13      1
 4800510D  41   1   u    0       0         6              5     HB   -34    13      1
 4800908D  41   1   u    0       0         6              6     HB   -33    13      2
 48008F8D  41   1   u    0       0         6              7     HB   -31    13      2
 48008E8D  41   1   u    0       0         7              0     HB   -29    13      2
 4800900D  41   1   u    0       0         7              1     HB   -32    13      2
 48008F0D  41   1   u    0       0         7              2     HB   -30    13      2
 4800910D  41   1   u    0       0         7              3     HB   -34    13      2
 4800910B  41   1   u    0       0         7              4     HB   -34    11      2
 4800900B  41   1   u    0       0         7              5     HB   -32    11      2
 48008F0B  41   1   u    0       0         7              6     HB   -30    11      2
 48008F8B  41   1   u    0       0         7              7     HB   -31    11      2
 48008E8B  41   1   u    0       0         8              0     HB   -29    11      2
 4800908B  41   1   u    0       0         8              1     HB   -33    11      2
 4800510B  41   1   u    0       0         8              2     HB   -34    11      1
 4800500B  41   1   u    0       0         8              3     HB   -32    11      1
 48004F0B  41   1   u    0       0         8              4     HB   -30    11      1
 48004F8B  41   1   u    0       0         8              5     HB   -31    11      1
 48004E8B  41   1   u    0       0         8              6     HB   -29    11      1
 4800508B  41   1   u    0       0         8              7     HB   -33    11      1
 4800548B  41   1   u    0       0         9              0     HB   -41    11      1
 4800528D  41   1   u    0       0         9              1     HB   -37    13      1
 4800518D  41   1   u    0       0         9              2     HB   -35    13      1
 4800530D  41   1   u    0       0         9              3     HB   -38    13      1
 4800520D  41   1   u    0       0         9              4     HB   -36    13      1
 4800538D  41   1   u    0       0         9              5     HB   -39    13      1
 4800948B  41   1   u    0       0         9              6     HB   -41    11      2
 4800928D  41   1   u    0       0         9              7     HB   -37    13      2
 4800918D  41   1   u    0       0         10              0    HB    -35    13      2
 4800930D  41   1   u    0       0         10              1    HB    -38    13      2
 4800920D  41   1   u    0       0         10              2    HB    -36    13      2
 4800938D  41   1   u    0       0         10              3    HB    -39    13      2
 4800940B  41   1   u    0       0         10              4    HB    -40    11      2
 4800930B  41   1   u    0       0         10              5    HB    -38    11      2
 4800920B  41   1   u    0       0         10              6    HB    -36    11      2
 4800928B  41   1   u    0       0         10              7    HB    -37    11      2
 4800918B  41   1   u    0       0         11              0    HB    -35    11      2
 4800938B  41   1   u    0       0         11              1    HB    -39    11      2
 4800540B  41   1   u    0       0         11              2    HB    -40    11      1
 4800530B  41   1   u    0       0         11              3    HB    -38    11      1
 4800520B  41   1   u    0       0         11              4    HB    -36    11      1
 4800528B  41   1   u    0       0         11              5    HB    -37    11      1
 4800518B  41   1   u    0       0         11              6    HB    -35    11      1
 4800538B  41   1   u    0       0         11              7    HB    -39    11      1
 4800508D  41   1   u    0       0         12              0    HB    -33    13      1
 48004F8D  41   1   u    0       0         12              1    HB    -31    13      1
 48004E8D  41   1   u    0       0         12              2    HB    -29    13      1
 4800500D  41   1   u    0       0         12              3    HB    -32    13      1
 48004F0D  41   1   u    0       0         12              4    HB    -30    13      1
 4800510D  41   1   u    0       0         12              5    HB    -34    13      1
 4800908D  41   1   u    0       0         12              6    HB    -33    13      2
 48008F8D  41   1   u    0       0         12              7    HB    -31    13      2
 48008E8D  41   1   u    0       0         13              0    HB    -29    13      2
 4800900D  41   1   u    0       0         13              1    HB    -32    13      2
 48008F0D  41   1   u    0       0         13              2    HB    -30    13      2
 4800910D  41   1   u    0       0         13              3    HB    -34    13      2
 4800910B  41   1   u    0       0         13              4    HB    -34    11      2
 4800900B  41   1   u    0       0         13              5    HB    -32    11      2
 48008F0B  41   1   u    0       0         13              6    HB    -30    11      2
 48008F8B  41   1   u    0       0         13              7    HB    -31    11      2
 48008E8B  41   1   u    0       0         14              0    HB    -29    11      2
 4800908B  41   1   u    0       0         14              1    HB    -33    11      2
 4800510B  41   1   u    0       0         14              2    HB    -34    11      1
 4800500B  41   1   u    0       0         14              3    HB    -32    11      1
 48004F0B  41   1   u    0       0         14              4    HB    -30    11      1
 48004F8B  41   1   u    0       0         14              5    HB    -31    11      1
 48004E8B  41   1   u    0       0         14              6    HB    -29    11      1
